Transaction ID,Customer ID,Transaction Amount,Transaction Date,Payment Method,Product Category,Quantity,Customer Age,Customer Location,Device Used,IP Address,Shipping Address,Billing Address,Is Fraudulent,Account Age Days,Transaction Hour
39fc0123-2bf7-4b85-bdef-303307278a72,cdc000b9-0f59-42e1-b839-e04c1ac4a9dd,180.07,2024-03-11 15:47:41,bank transfer,electronics,4,60,Port Gregorymouth,desktop,31.244.7.152,"930 Walter Lake
Hannahview, KS 01333","930 Walter Lake
Hannahview, KS 01333",0,284,15
11742b0b-4908-4bf0-a2dd-e0e13225fc4d,aa03ddbb-9f76-4a0c-a11c-48de84a78f3a,76.74,2024-01-01 09:09:49,bank transfer,home & garden,5,34,Martinezchester,tablet,58.99.75.180,"865 Griffin Pike Apt. 603
New Jamie, HI 41912","865 Griffin Pike Apt. 603
New Jamie, HI 41912",0,256,9
017d010a-3428-47a9-a18f-2ef12eb89d49,fe8ff6df-8ba3-47fe-a87d-21fbee7fbb29,245.22,2024-01-11 09:22:46,credit card,clothing,2,40,Claudiaton,desktop,188.147.75.60,"PSC 0545, Box 4909
APO AP 33996","795 Alexander Inlet
Michaelstad, KS 44514",0,334,9
70de83a5-bc06-4c04-a890-5c20cca3e306,1c4754fc-a599-493a-bc80-3c7ef2d25986,18.64,2024-02-25 21:03:05,debit card,clothing,4,34,Brandonport,mobile,123.179.80.148,"66464 Ryan Spurs
Turnerborough, MO 07778","66464 Ryan Spurs
Turnerborough, MO 07778",0,73,21
88ee511b-8a9c-40c0-8f2b-55758ee16d36,ae7467ed-f4a8-46d3-9db8-1cf825722151,26.12,2024-02-22 10:49:14,PayPal,home & garden,3,39,West Amanda,mobile,113.172.100.23,"953 Ashley Prairie
West Juan, NH 25592","953 Ashley Prairie
West Juan, NH 25592",0,322,10
8d1cfb94-9283-4e4d-a0f0-b2318b37cdf8,98b04a2f-ecc3-4c38-b3e8-3e6d16f46907,181.92,2024-02-25 18:59:11,debit card,health & beauty,3,29,Danielleshire,tablet,58.98.49.63,"965 Smith Lock
Ivanmouth, DC 79902","965 Smith Lock
Ivanmouth, DC 79902",0,30,18
d7244d0c-a770-4144-8879-a7f70fbc6a87,346bed81-931f-48dc-9e5a-f77b6bd2b35e,88.55,2024-01-31 21:02:13,PayPal,electronics,1,43,Scottside,desktop,15.151.78.62,"7677 Conner Spurs Suite 053
Lake Kelsey, FM 39443","7677 Conner Spurs Suite 053
Lake Kelsey, FM 39443",0,309,21
c6184322-f984-4516-b3d0-cc7c02dd1e61,5277d586-589e-478f-9913-2767790c3e31,147.02,2024-02-02 11:32:00,PayPal,home & garden,5,30,West Adam,tablet,153.226.16.24,"56407 Edwin Center
West Stephen, ND 03195","56407 Edwin Center
West Stephen, ND 03195",0,103,11
c481d72d-4584-4ec3-8261-17cd2eb5a81c,17b4617f-1a17-470e-a1ab-097ec7e67055,17.84,2024-02-10 21:35:58,debit card,health & beauty,1,27,East Joshua,desktop,21.227.18.185,"74902 Gonzalez Lights
New Nancy, LA 78560","74902 Gonzalez Lights
New Nancy, LA 78560",0,57,21
45bb231e-1d92-4cf3-894e-ea50a3fd464a,b2c96e76-2a27-482a-ab0a-5e91e20d56ce,258.04,2024-02-25 18:16:35,debit card,health & beauty,3,33,Jamesville,mobile,181.128.164.64,"3870 Joseph Oval Suite 831
Whiteshire, MN 27591","3870 Joseph Oval Suite 831
Whiteshire, MN 27591",0,53,18
a9ce4cab-b429-479a-8160-2bbd2224fb4e,32247935-1397-4754-9a81-c218cb9a0e4c,92.76,2024-02-05 15:04:35,bank transfer,toys & games,3,23,South Julieland,desktop,189.55.57.70,"307 Hogan Cape Apt. 262
Lake Christinamouth, NH 45469","307 Hogan Cape Apt. 262
Lake Christinamouth, NH 45469",0,148,15
f72e908d-fdf2-4955-9b8a-fc8fa4f6b950,80bcc52b-5e62-483c-be46-9f40a9fba9a1,175.56,2024-01-26 05:36:50,bank transfer,clothing,2,32,West Gabrielle,mobile,105.72.103.112,"18705 Jackson Divide Suite 759
North Connie, FL 48441","18705 Jackson Divide Suite 759
North Connie, FL 48441",0,65,5
ff40c976-1cb7-4401-a129-b8626b5ebd65,781e033a-3e35-4e91-aae0-e4f5f7e0cf38,85.57,2024-01-09 18:20:25,bank transfer,toys & games,2,25,Port Erin,tablet,10.164.187.232,"Unit 0037 Box 0824
DPO AA 09059","PSC 6470, Box 3512
APO AE 61042",0,303,18
ba52c6dd-30d0-433f-ae21-c7f292044f71,bf1e3566-bd77-45ff-85e5-3cede54dc3c2,266.09,2024-03-23 12:31:25,debit card,health & beauty,1,22,Anthonyburgh,tablet,80.13.229.121,"8982 Blake Tunnel Suite 842
East Seanberg, IL 98384","8982 Blake Tunnel Suite 842
East Seanberg, IL 98384",0,55,12
da75d9d0-5a4c-470b-9093-241af84e8fad,54639d7c-e5b3-40af-aaf3-ea2dd51e9e53,230.78,2024-03-31 11:08:23,credit card,clothing,2,21,North Danielmouth,desktop,83.166.231.211,"06987 Robin Club
Lake Kevin, RI 02222","06987 Robin Club
Lake Kevin, RI 02222",0,230,11
6323f12a-743b-4f8a-9e2f-afbc0a589755,0d2b7da3-3f61-4b38-8897-86a9a78ec39c,1008.1,2024-03-24 06:53:07,bank transfer,electronics,1,21,Jamesshire,desktop,189.59.152.63,"1990 Jones Harbors Suite 748
Shannonfurt, VA 38763","2649 Robert Springs Apt. 781
Lake Christopher, ND 01391",0,152,6
0ab57d0d-126f-4be9-8fde-8bbdda8b6c65,9741574e-f0e8-450b-8e1d-7f9c95c5ddc8,1668.5,2024-03-11 05:30:21,bank transfer,clothing,2,50,Sheltonbury,desktop,195.156.22.143,"458 Howell Neck
Port Charles, NJ 15942","458 Howell Neck
Port Charles, NJ 15942",1,6,3
8b702d4c-21aa-4b1e-8174-aedaa9e5c966,4cf925e8-8fa8-445f-825a-afe94160ee2d,142.42,2024-01-03 07:02:18,debit card,clothing,1,37,East Becky,desktop,206.64.201.227,"40039 Debbie Brooks Apt. 360
Markburgh, CT 47563","40039 Debbie Brooks Apt. 360
Markburgh, CT 47563",0,339,7
008463e0-2808-4d41-9490-bbbfef7404b7,c032de2a-e2f1-4d5f-a172-cc39bf8e3113,31.89,2024-01-06 15:18:37,debit card,electronics,1,37,Danielland,tablet,189.24.203.236,"770 Christy Ville Apt. 396
Katelynville, DC 41295","770 Christy Ville Apt. 396
Katelynville, DC 41295",0,272,15
fcbaf0ab-e471-4c61-a006-dfb3ed4f5c1e,1efcdb03-a0a7-4d32-ae30-75b0b3746405,82.01,2024-01-12 10:10:40,bank transfer,electronics,3,35,Port Tracy,desktop,60.126.30.124,"085 Orr Ville
West Andrewtown, NY 83184","085 Orr Ville
West Andrewtown, NY 83184",0,139,10
bc4ae552-8bf4-4266-8d57-f20cba5bb682,5975bb80-6adf-4e89-aa1d-01e66f18c9ec,240,2024-01-28 19:40:58,debit card,home & garden,1,44,New Amyfurt,desktop,168.123.219.17,"013 Jesse Glen Suite 952
Benitezshire, OH 25221","013 Jesse Glen Suite 952
Benitezshire, OH 25221",0,118,19
5a860657-f2a9-457a-ad60-47f0c1382203,df1d405b-5f34-4041-a80e-dd79796ffd8b,852.8,2024-03-20 05:49:23,debit card,health & beauty,5,42,Michaelbury,mobile,82.9.43.65,"1873 Yolanda Ferry Suite 804
Deborahton, ND 10535","1873 Yolanda Ferry Suite 804
Deborahton, ND 10535",1,113,5
ddbe1387-47dd-4b26-bea9-d38024c75d09,22bb776b-2de9-4f5e-a5d0-f0df8b14f6ed,305.8,2024-02-02 12:16:57,PayPal,clothing,5,43,Lake Thomas,mobile,93.126.19.160,"84498 Matthew Lock
South Josephland, TN 11190","84498 Matthew Lock
South Josephland, TN 11190",0,74,12
